,name,price,image
51,XIAOMI Redmi 10C (4GB -128GB) Snapdragon 680 -5000 mAh-50 MP- NFC-Gray,"1,790.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/741175/1.jpg?7547
52,Samsung Galaxy A03 Core Noir 2G Ram 32G Storage,"1,100.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/515774/1.jpg?7520
53,Support 360rotatif universel Flexible paresseux  pour Smartphones,39.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/480044/1.jpg?0089
54,"XIAOMI Redmi Note 11 6,5"" (4Go, 128Go) MediaTek Helio G88 - 50MP/8MP- Bleu","2,199.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/061384/1.jpg?5804
55,"XIAOMI Redmi A1+ 6.52"" - 2GB + 32GB - 8MPx – Noir","1,150.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/320085/4.jpg?0914
56,XIAOMI Redmi 9A (2Go/32Go) Dual Sim- 5000mAh - Bleu +Kit+ Incassable,"1,239.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/594384/1.jpg?1060
57,Samsung GALAXY M52- 5G – 128Gb ROM - 8Gb RAM - Noir,"3,249.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/638425/1.jpg?9250
58,"XIAOMI Redmi Note 11 Pro - FHD+ de 6,67’’(6Go, 128Go) - 108MP- Gris - Band + Écouteur","3,099.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/235365/1.jpg?5941
59,"Samsung Galaxy A32 ( 6 GB + 128 GB ) - 64 MP - 6.4""- 5,000mAh - Blanc + Kit + Montre","2,870.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/440604/1.jpg?9495
60,"Nokia 5.1 Plus  5.8""HD 4G+ ( 32Gb Ram 3Go ) Double SIM -13MP- Black","1,139.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/502015/1.jpg?8792
61,"Samsung Galaxy M33 - 6.6"" - 5G - 6GB RAM+128GB ROM - 50Mpx - Blue","2,560.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/595445/1.jpg?5695
62,"Samsung Galaxy A13 6.6"" LTE 4GB RAM + 128GB ROM 50 Mpx - Blue","2,018.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/171705/1.jpg?3375
63,"XIAOMI Redmi 9C 6.53"" (4Go, 128 Go) Android 13MP+2MP+2MP/5MP - Violet +Kit+ Band","1,799.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/069794/1.jpg?0987
64,"XIAOMI Redmi 10A – 6,53’’ - 3 GB RAM + 64 GB ROM - 13Mpx – Graphite gray","1,529.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/720125/1.jpg?2487
65,Samsung GALAXY M52- 5G – 128Go ROM - 8Go Ram - 64 Mpx - Android - Bleu,"3,200.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/638425/1.jpg?9249
66,"Oppo A16K (3Go+32Go) - Design 3D -  6,52"" HD+ Eye Care - 4230mAh - Blue","1,399.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/049905/1.jpg?5583
67,Infinix SMART 6 X6511B 32+2 - Light Sea Green,"1,189.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/080015/1.jpg?8001
68,"XIAOMI Redmi Note 10  Pro - 6.67"" (8Go, 128Go) 108MP / 8MP - Gris + Band + Écouteur","3,099.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/339585/1.jpg?6885
69,"Samsung Galaxy A13 6.6"" LTE 4GB RAM + 128GB ROM 50 Mpx - Black","2,018.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/171705/1.jpg?3374
70,Logicom Téléphone Sans fil numérique de maison  150,229.50 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/454884/1.jpg?3359
71,"XIAOMI Redmi Note 11 Pro - FHD+ de 6,67’’(6Go, 128Go) - 108MP- Gris - Band + Écouteur","3,099.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/186585/1.jpg?7185
72,"Samsung Galaxy A04 - 6.5"" - 4GB RAM + 64GB ROM - 50MP - Copper","1,429.00 Dhs",https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/485685/1.jpg?4864
73,"Itel BRAND MOBILE PHONE P38 - 6.6"" - 32GB ROM - 2GB RAM - Nebula Black",880.00 Dhs,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/289075/1.jpg?9466
